datetime,time,value,type
2025-04-20 21:45:00,21:45:00,7.2,1
2025-04-20 21:49:00,21:49:00,6.2,1
2025-04-20 21:52:00,21:52:00,6.7,0
2025-04-20 21:53:00,21:53:00,6.0,1
2025-04-20 21:54:00,21:54:00,6.3,1
2025-04-20 21:57:00,21:57:00,7.0,1
2025-04-20 21:58:00,21:58:00,7.1,1
2025-04-20 22:07:00,22:07:00,7.4,0
2025-04-20 22:07:00,22:07:00,7.6,1
2025-04-20 22:13:00,22:13:00,7.6,1
2025-04-20 22:19:00,22:19:00,7.1,1
2025-04-20 22:20:00,22:20:00,7.3,1
2025-04-20 22:22:00,22:22:00,7.7,1
2025-04-20 22:22:00,22:22:00,7.2,0
2025-04-20 22:24:00,22:24:00,7.4,1
2025-04-20 22:25:00,22:25:00,7.3,1
2025-04-20 22:33:00,22:33:00,6.9,1
2025-04-20 22:37:00,22:37:00,7.2,0
2025-04-20 22:41:00,22:41:00,7.3,1
2025-04-20 22:43:00,22:43:00,7.5,1
2025-04-20 22:43:00,22:43:00,7.5,1
2025-04-20 22:44:00,22:44:00,7.7,1
2025-04-20 22:45:00,22:45:00,7.9,1
2025-04-20 22:46:00,22:46:00,7.9,1
2025-04-20 22:47:00,22:47:00,7.8,1
2025-04-20 22:48:00,22:48:00,7.7,1
2025-04-20 22:49:00,22:49:00,7.5,1
2025-04-20 22:52:00,22:52:00,7.4,0
2025-04-20 22:52:00,22:52:00,7.4,1
2025-04-20 22:59:00,22:59:00,7.8,1
2025-04-20 23:00:00,23:00:00,7.8,1
2025-04-20 23:00:00,23:00:00,7.7,1
2025-04-20 23:08:00,23:08:00,7.6,0
2025-04-20 23:23:00,23:23:00,7.3,0
2025-04-20 23:38:00,23:38:00,7.3,0
2025-04-20 23:53:00,23:53:00,7.5,0
2025-04-21 00:08:00,00:08:00,8.0,0
2025-04-21 00:23:00,00:23:00,8.2,0
2025-04-21 00:38:00,00:38:00,8.1,0
2025-04-21 00:53:00,00:53:00,8.2,0
2025-04-21 01:09:00,01:09:00,8.6,0
2025-04-21 01:24:00,01:24:00,8.1,0
2025-04-21 01:39:00,01:39:00,8.0,0
2025-04-21 01:54:00,01:54:00,7.2,0
2025-04-21 02:09:00,02:09:00,7.5,0
2025-04-21 02:24:00,02:24:00,8.9,0
2025-04-21 02:39:00,02:39:00,8.8,0
2025-04-21 02:54:00,02:54:00,8.6,0
2025-04-21 03:10:00,03:10:00,9.2,0
2025-04-21 03:25:00,03:25:00,9.3,0
2025-04-21 03:40:00,03:40:00,9.5,0
2025-04-21 03:55:00,03:55:00,9.1,0
2025-04-21 04:10:00,04:10:00,9.2,0
2025-04-21 04:16:00,04:16:00,8.9,1
2025-04-21 04:25:00,04:25:00,9.2,0
2025-04-21 04:40:00,04:40:00,8.7,0
2025-04-21 04:55:00,04:55:00,8.1,0
2025-04-21 05:07:00,05:07:00,7.1,1
2025-04-21 05:11:00,05:11:00,9.0,0
2025-04-21 05:26:00,05:26:00,10.4,0
2025-04-21 05:41:00,05:41:00,9.9,0
2025-04-21 05:56:00,05:56:00,9.9,0
2025-04-21 05:57:00,05:57:00,9.7,1
2025-04-21 06:01:00,06:01:00,9.9,1
2025-04-21 06:11:00,06:11:00,9.5,0
2025-04-21 06:26:00,06:26:00,9.9,0
2025-04-21 06:41:00,06:41:00,10.2,0
2025-04-21 06:56:00,06:56:00,10.2,0
2025-04-21 07:12:00,07:12:00,10.0,0
2025-04-21 07:23:00,07:23:00,10.1,1
2025-04-21 07:24:00,07:24:00,10.1,1
2025-04-21 07:27:00,07:27:00,9.9,0
2025-04-21 07:42:00,07:42:00,9.8,0
2025-04-21 07:57:00,07:57:00,10.5,0
2025-04-21 08:05:00,08:05:00,10.8,1
2025-04-21 08:05:00,08:05:00,10.8,1
2025-04-21 08:06:00,08:06:00,10.8,1
2025-04-21 08:12:00,08:12:00,10.9,0
2025-04-21 08:19:00,08:19:00,10.6,1
2025-04-21 08:20:00,08:20:00,10.7,1
2025-04-21 08:20:00,08:20:00,10.7,1
2025-04-21 08:27:00,08:27:00,10.9,0
2025-04-21 08:29:00,08:29:00,10.8,1
2025-04-21 08:30:00,08:30:00,10.8,1
2025-04-21 08:30:00,08:30:00,10.7,1
2025-04-21 08:31:00,08:31:00,10.8,1
2025-04-21 08:32:00,08:32:00,10.9,1
2025-04-21 08:32:00,08:32:00,10.9,1
2025-04-21 08:35:00,08:35:00,11.0,1
2025-04-21 08:36:00,08:36:00,10.9,1
2025-04-21 08:42:00,08:42:00,11.6,0
2025-04-21 08:50:00,08:50:00,11.4,1
2025-04-21 08:51:00,08:51:00,11.4,1
2025-04-21 08:51:00,08:51:00,11.5,1
2025-04-21 08:56:00,08:56:00,12.8,1
2025-04-21 08:57:00,08:57:00,12.5,0
2025-04-21 08:57:00,08:57:00,12.9,1
2025-04-21 08:58:00,08:58:00,12.9,1
2025-04-21 08:59:00,08:59:00,13.1,1
2025-04-21 09:00:00,09:00:00,13.2,1
2025-04-21 09:04:00,09:04:00,13.0,1
2025-04-21 09:06:00,09:06:00,12.7,1
2025-04-21 09:08:00,09:08:00,12.5,1
2025-04-21 09:09:00,09:09:00,12.5,1
2025-04-21 09:11:00,09:11:00,12.8,1
2025-04-21 09:12:00,09:12:00,13.1,1
2025-04-21 09:12:00,09:12:00,13.1,1
2025-04-21 09:13:00,09:13:00,12.7,0
2025-04-21 09:20:00,09:20:00,12.4,1
2025-04-21 09:21:00,09:21:00,12.4,1
2025-04-21 09:22:00,09:22:00,12.4,1
2025-04-21 09:23:00,09:23:00,12.6,1
2025-04-21 09:25:00,09:25:00,12.7,1
2025-04-21 09:26:00,09:26:00,12.8,1
